id,name,description,order,family,genus,characteristics,notes,wikipedia_url,eol_id,refs__ids,countries__ids,ecoregions__ids
acaciaataxacantha,Acacia ataxacantha,Flamethorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_ataxacantha,648867,,"BW,ZA",AT1309
acaciacaffra,Acacia caffra,Cat-thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_caffra,660853,,"BW,NA,ZA",AT0709
acaciaerioloba,Acacia erioloba,Camel thorn,Fabales,Fabaceae,Acacia,"4 - 12 m tall, yellow flowers, woody pods 130 mm long, grey-green leaves 100 mm, leaflets 13 mm, straight thorns 60 mm, rough fissured bark",,http://en.wikipedia.org/wiki/Acacia_erioloba,678840,carruthers2000[250];vanrooyen2001[26],"BW,NA,ZA",AT1309
acaciafleckiischinz,Acacia fleckii Schinz,Blade thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_Fleckii_Schinz,682694,,"BW,ZA",AT1309
acaciahebecladahebeclada,Acacia hebeclada hebeclada,Candle thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_hebeclada_hebeclada,1230788,,"BW,NA,ZA",AT1309
acaciahereroensis,Acacia hereroensis,Mountain thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_hereroensis,685442,,"BW,NA,ZA",AT0709
acaciakarroo,Acacia karroo,Sweet thorn,Fabales,Fabaceae,Acacia,"3 - 6 m tall, yellow flowers",,http://en.wikipedia.org/wiki/Acacia_karroo,685899,carruthers2000[250];vanrooyen2001[30],"BW,ZA",AT0709
acacialuederitzii,Acacia luederitzii,Kalahari-sand acacia,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_luederitzii,686460,,"BW,NA,ZA",AT1309
acaciamellifera,Acacia mellifera,Black thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_mellifera,686993,,"BW,NA,ZA",AT1309
acacianebrownii,Acacia nebrownii,Water thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_nebrownii,687184,,"BW,NA,ZA",AT1309
acacianigrescens,Acacia nigrescens,Knob thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_nigrescens,687250,,"BW,ZA",AT0709
acacianiloticasubspkraussiana,Acacia nilotica subsp. kraussiana,"Scented thorn, Scented-pod acacia",Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_nilotica_subsp._kraussiana,1230733,,"BW,NA,ZA",AT0709
acaciarobusta,Acacia robusta,Splendid thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_robusta,689994,,"BW,NA,ZA",AT0709
acaciatortilissubspheteracantha,Acacia tortilis subsp. heteracantha,Umbrella thorn,Fabales,Fabaceae,Acacia,,,http://en.wikipedia.org/wiki/Acacia_tortilis_subsp_heteracantha,1230610,,"BW,NA,ZA",AT0709
acanthosicyosnaudinianus,Acanthosicyos naudinianus,Gemsbok cucumber,Cucurbitales,Cucurbitaceae,Acanthosicyos,,,http://en.wikipedia.org/wiki/Acanthosicyos_naudinianus,5734641,,"BW,NA,ZA",AT1309
accipiterbadius,Accipiter badius,Shikra,Accipitriformes,Accipitridae,Accipiter,,,http://en.wikipedia.org/wiki/Accipiter_badius,914073,,"BW,NA,ZA",AT1309
achyranthesaspera,Achyranthes aspera,Devil's horsewhip,Caryophyllales,Amaranthaceae,Achyranthes,,,http://en.wikipedia.org/wiki/Achyranthes_aspera,585501,,"BW,ZA",AT0709
acinonyxjubatus,Acinonyx jubatus,Cheetah,Carnivora,Felidae,Acinonyx,,,http://en.wikipedia.org/wiki/Acinonyx_jubatus,328680,,"BW,NA,ZA",AT1309
acrididae,Acrididae,Grasshopper,Orthoptera,Acrididae,,,,http://en.wikipedia.org/wiki/Acrididae_sp.,6580,,"BW,NA,ZA",AT1309
adansoniadigitata,Adansonia digitata,Baobab,Malvales,Malvaceae,Adansonia,,,http://en.wikipedia.org/wiki/Adansonia_digitata,584789,,"AO,NA,ZA",AT0709
aegypiinae,Aegypiinae,Old world vulture,Accipitriformes,Accipitridae,,,,http://en.wikipedia.org/wiki/Aegypiinae,4434126,,"BW,NA,ZA",AT0709
aepycerosmelampus,Aepyceros melampus,Impala,Artiodactyla,Bovidae,Aepyceros,,,http://en.wikipedia.org/wiki/Aepyceros_melampus,308540,,"BW,ZA",AT0709
aervaleucura,Aerva leucura,Aerva sp.,Caryophyllales,Amaranthaceae,Aerva,,,http://en.wikipedia.org/wiki/Aerva_leucura,5173062,,"BW,NA,ZA",AT0709
agamaaculeata,Agama aculeata,Dwarf rockhead agama,Squamata,Agamidae,Agama,,,http://en.wikipedia.org/wiki/Agama_aculeata,815934,,NA,AT1309
agamaagama,Agama agama,Common agama,Squamata,Agamidae,Agama,,,http://en.wikipedia.org/wiki/Agama_agama,815935,,,
albucaamboensis,Albuca amboensis,Slime lily,Asparagales,Asparagaceae,Albuca,,,http://en.wikipedia.org/wiki/Albuca,1084063,,"BW,NA,ZA",AT1309
alcelaphusbuselaphus,Alcelaphus buselaphus,Hartebeest,Artiodactyla,Bovidae,Alcelaphus,,,http://en.wikipedia.org/wiki/Alcelaphus_buselaphus,308529,,"BW,NA,ZA","AT0709,AT1309"
alectraorobanchoides,Alectra orobanchoides,Kirk's tobacco witchweed,Lamiales,Orobanchaceae,Alectra,,,http://en.wikipedia.org/wiki/Alectra_orobanchoides,5664171,,"BW,ZA",AT1309
aloecryptopoda,Aloe cryptopoda,Dr Kirk's aloe,Asparagales,Xanthorrhoeaceae,Aloe,,,http://en.wikipedia.org/wiki/Aloe_cryptopoda,1085252,,"BW,ZA",AT0709
aloezebrina,Aloe zebrina,Zebra leaf aloe,Asparagales,Xanthorrhoeaceae,Aloe,,,http://en.wikipedia.org/wiki/Aloe_zebrina,1085618,,"BW,NA",AT1309
amadinaerythrocephala,Amadina erythrocephala,Red-headed finch,Passeriformes,Estrildidae,Amadina,,,http://en.wikipedia.org/wiki/Amadina_erythrocephala,1050435,,"BW,NA,ZA",AT1309
amietiaangolensis,Amietia angolensis,Angola river frog,Anura,Pyxicephalidae,Amietia,,,http://en.wikipedia.org/wiki/Amietia_angolensis,1048304,,"BW,NA,ZA",AT0709
amitermes,Amitermes,Amitermes sp.,Isoptera,Termitidae,,,,http://en.wikipedia.org/wiki/Amitermes,50760,,"BW,NA,ZA",AT1309
anatidae,Anatidae,Anatidae sp.,Anseriformes,Anatidae,,,,http://en.wikipedia.org/wiki/Anatidae_sp,8027,,"BW,ZA",AT0709
anobiidae,Anobiidae,Death watch beetle,Coleoptera,Anobiidae,,,,http://en.wikipedia.org/wiki/Anobiidae_sp,7483,,"BW,ZA",AT0709
anthephorapubescens,Anthephora pubescens,Wool grass,Poales,Poaceae,Anthephora,,,http://en.wikipedia.org/wiki/Anthephora_pubescens,5829935,,"BW,NA,ZA",AT1309
antidorcasmarsupialis,Antidorcas marsupialis,Springbok,Artiodactyla,Bovidae,Antidorcas,,,http://en.wikipedia.org/wiki/Antidorcas_marsupialis,308537,,"BW,NA,ZA","AT0709,AT1309,AT1316"
antizomaangustifolia,Antizoma angustifolia,Antizoma sp.,Ranunculales,Menispermaceae,Antizoma,,,http://en.wikipedia.org/wiki/Antizoma_angustifolia,5517200,,"BW,ZA",AT1309
aonyxcapensis,Aonyx capensis,Groot otter,Carnivora,Mustelidae,Aonyx,,,http://en.wikipedia.org/wiki/Aonyx_capensis,328023,,"BW,ZA",AT0709
aptosimumalbomarginatum,Aptosimum albomarginatum,Aptosimum sp.,Lamiales,Scrophulariaceae,Aptosimum,,,http://en.wikipedia.org/wiki/Aptosimum_albomarginatum,5675661,,NA,AT1309
aptosimumlineare,Aptosimum lineare,Veld violet,Lamiales,Scrophulariaceae,Aptosimum,,,http://en.wikipedia.org/wiki/Aptosimum_lineare,5675676,,ZA,AT1309
aquilarapax,Aquila rapax,African tawny-eagle,Accipitriformes,Accipitridae,Aquila,,,http://en.wikipedia.org/wiki/Aquila_rapax,914149,,"BW,MZ,NA,ZA,ZW",AT1309
ardeotiskori,Ardeotis kori,Kori bustard,Gruiformes,Otididae,Ardeotis,,,http://en.wikipedia.org/wiki/Ardeotis_kori,915382,,"BW,NA,ZA","AT0709,AT1309"
argiope,Argiope,Garden orbweaver,Araneae,Araneidae,Argiope,,,http://en.wikipedia.org/wiki/Argiope_sp,23797561,,"BW,NA,ZA",AT1309
aristidacongesta,Aristida congesta,Stickgrass,Poales,Poaceae,Aristida,,,http://en.wikipedia.org/wiki/Aristida_congesta,5798633,,"BW,NA,ZA",AT1309
aristidameridionalis,Aristida meridionalis,Aristida sp.,Poales,Poaceae,Aristida,,,http://en.wikipedia.org/wiki/Aristida_meridionalis,5799029,,"BW,NA,ZA",AT1309
asclepiasfruticosa,Asclepias fruticosa,Narrow-leaf cotton bush,Gentianales,Apocynaceae,Gomphocarpus,,,http://en.wikipedia.org/wiki/Asclepias_fruticosa,2892993,,"BW,ZA",AT0709
asparagusafricanus,Asparagus africanus,African asparagus,Asparagales,Asparagaceae,Asparagus,,,http://en.wikipedia.org/wiki/Asparagus_africanus,987593,,"BW,NA",AT0709
asparagusbechuanicus,Asparagus bechuanicus,Wild asparagus,Asparagales,Asparagaceae,Asparagus,,,http://en.wikipedia.org/wiki/Asparagus_bechuanicus,,,"BW,NA,ZA",AT1309
asparaguslaricinus,Asparagus laricinus,Cluster-leaf asparagus,Asparagales,Asparagaceae,Asparagus,,,http://en.wikipedia.org/wiki/Asparagus_laricinus,987834,,"BW,ZA",AT0709
asparagusnelsii,Asparagus nelsii,Sandveld asparagus,Asparagales,Asparagaceae,Asparagus,,,http://en.wikipedia.org/wiki/Asparagus_nelsii,988002,,"BW,NA,ZA",AT1309
asparagussuaveolens,Asparagus suaveolens,Wild asparagus,Asparagales,Asparagaceae,Asparagus,,,http://en.wikipedia.org/wiki/Asparagus_suaveolens,989948,,"BW,NA,ZA",AT1309
atelerixfrontalis,Atelerix frontalis,Southern African hedgehog,Erinaceomorpha,Erinaceidae,Atelerix,,,http://en.wikipedia.org/wiki/Atelerix_frontalis,1178679,,"BW,NA,ZA","AT0709,AT1309"
atractaspisbibronii,Atractaspis bibronii,Bibron's burrowing asp,Squamata,Atractaspididae,Atractaspis,,,http://en.wikipedia.org/wiki/Atractaspis_bibronii,795688,,"BW,NA",AT0709
